name,type,top,toperr,bot,boterr,C,M,Y,K,R,G,B,fontstyle,fontcolor
Phanerozoic,Eon,0,,541,1,40,0,5,0,154,217,221,regular,black
Cenozoic,Era,0,,66,,5,0,90,0,242,249,29,regular,black
Quaternary,Period,0,,2.58,,0,0,50,0,249,249,127,regular,black
Holocene,Epoch,0,,0.0117,,0,5,10,0,254,242,224,regular,black
,Age,0,,0.0117,,0,5,5,0,254,242,236,regular,black
Pleistocene,Epoch,0.0117,,2.58,,0,5,30,0,255,242,174,regular,black
Upper,Age,0.0117,,0.126,,0,5,15,0,255,242,211,italics,black
Middle,Age,0.126,,0.781,,0,5,20,0,255,242,199,italics,black
Calabrian,Age,0.781,,1.8,,0,5,25,0,255,242,186,regular,black
Gelasian,Age,1.8,,2.58,,0,5,35,0,255,237,179,regular,black
Neogene,Period,2.58,,23.03,,0,10,90,0,255,230,25,regular,black
Pliocene,Epoch,2.58,,5.333,,0,0,40,0,255,255,153,regular,black
Piacenzian,Age,2.58,,3.6,,0,0,25,0,255,255,191,regular,black
Zanclean,Age,3.6,,5.333,,0,0,30,0,255,255,179,regular,black
Miocene,Epoch,5.333,,23.03,,0,0,100,0,255,255,0,regular,black
Messinian,Age,5.333,,7.246,,0,0,55,0,255,255,115,regular,black
Tortonian,Age,7.246,,11.63,,0,0,60,0,255,255,102,regular,black
Serravallian,Age,11.63,,13.82,,0,0,65,0,255,255,89,regular,black
Langhian,Age,13.82,,15.97,,0,0,70,0,255,255,77,regular,black
Burdigalian,Age,15.97,,20.44,,0,0,75,0,255,255,65,regular,black
Aquitanian,Age,20.44,,23.03,,0,0,80,0,255,255,51,regular,black
Paleogene,Period,23.03,,66,,0,40,60,0,253,154,82,regular,black
Oligocene,Epoch,23.03,,33.9,,0,25,45,0,253,192,122,regular,black
Chattian,Age,23.03,,28.1,,0,10,30,0,254,230,170,regular,black
Rupelian,Age,28.1,,33.9,,0,15,35,0,254,217,154,regular,black
Eocene,Epoch,33.9,,56,,0,30,50,0,253,180,108,regular,black
Priabonian,Age,33.9,,37.8,,0,20,30,0,253,205,161,regular,black
Bartonian,Age,37.8,,41.2,,0,25,35,0,253,192,145,regular,black
Lutetian,Age,41.2,,47.8,,0,30,40,0,252,180,130,regular,black
Ypresian,Age,47.8,,56,,0,35,45,0,252,167,115,regular,black
Paleocene,Epoch,56,,66,,0,35,55,0,253,167,95,regular,black
Thanetian,Age,56,,59.2,,0,25,50,0,253,191,111,regular,black
Selandian,Age,59.2,,61.6,,0,25,55,0,254,191,101,regular,black
Danian,Age,61.6,,66,,0,30,55,0,253,180,98,regular,black
Mesozoic,Era,66,,252,,60,0,10,0,103,197,202,regular,black
Cretaceous,Period,66,,145,,50,0,75,0,127,198,78,regular,black
Upper,Epoch,66,,100.5,,35,0,75,0,166,216,74,regular,black
Maastrictian,Age,66,,72.1,0.2,10,0,50,0,242,250,140,regular,black
Campanian,Age,72.1,0.2,83.6,0.2,10,0,50,0,230,244,127,regular,black
Santonian,Age,83.6,0.2,86.3,0.5,15,0,55,0,217,239,116,regular,black
Coniacian,Age,86.3,0.5,89.8,0.3,20,0,60,0,204,233,104,regular,black
Turonian,Age,89.8,0.3,93.9,,25,0,65,0,191,227,93,regular,black
Cenamonian,Age,93.9,,100,,30,0,70,0,179,222,83,regular,black
Albian,Age,100,,113,,20,0,40,0,204,234,151,regular,black
Lower,Epoch,100.5,,145,,45,0,70,0,140,205,87,regular,black
Aptian,Age,113,,126,,25,0,45,0,191,228,138,regular,black
Barremian,Age,126,,131,,30,0,50,0,179,223,127,regular,black
Hauterivian,Age,131,,134,,35,0,55,0,166,217,117,regular,black
Valanginian,Age,134,,139,,40,0,60,0,153,211,106,regular,black
Berriasian,Age,139,,145,,45,0,65,0,140,205,96,regular,black
Jurassic,Period,145,,201.3,0.2,80,0,5,0,52,178,201,regular,white
Upper,Epoch,145,,163.5,1,30,0,0,0,179,227,238,regular,black
Tithonian,Age,145,,152.1,0.9,15,0,0,0,217,241,247,regular,black
Kimmeridgian,Age,152.1,0.9,157.3,1,20,0,0,0,204,236,244,regular,black
Oxfordian,Age,157.3,1,163.5,1,25,0,0,0,191,231,241,regular,black
Middle,Epoch,163.5,1,174.1,1,50,0,5,0,128,207,216,regular,black
Callovian,Age,163.5,1,166.1,1.2,25,0,5,0,191,231,229,regular,black
Bathonian,Age,166.1,1.2,168.3,1.3,30,0,5,0,179,226,227,regular,black
Bajocian,Age,168.3,1.3,170.3,1.4,35,0,5,0,166,221,224,regular,black
Aalenian,Age,170.3,1.4,174.1,1,40,0,5,0,154,217,221,regular,black
Lower,Epoch,174.1,1,201.3,0.2,75,5,0,0,66,174,208,regular,white
Toarcian,Age,174.1,1,182.7,0.7,40,5,0,0,153,206,227,regular,black
Pliensbachian,Age,182.7,0.7,190.8,1,50,5,0,0,128,197,221,regular,white
Sinemurian,Age,190.8,1,199.3,0.3,60,5,0,0,103,188,216,regular,white
Hettangian,Age,199.3,0.3,201.3,0.2,70,5,0,0,78,179,211,regular,white
Triassic,Period,201.3,0.2,251.902,0.024,50,80,0,0,129,43,146,regular,white
Upper,Epoch,201.3,0.2,237,,25,40,0,0,189,140,195,regular,white
Rhaetian,Age,201.3,0.2,208.5,,10,25,0,0,227,185,219,regular,black
Norian,Age,208.5,,227,,15,30,0,0,214,170,211,regular,black
Carnian,Age,227,,237,,20,35,0,0,201,155,203,regular,black
Middle,Epoch,237,,247.2,,30,55,0,0,177,104,177,regular,white
Ladinian,Age,237,,242,,20,45,0,0,201,131,191,regular,white
Anisian,Age,242,,247.2,,25,50,0,0,188,117,183,regular,white
Lower,Epoch,247.2,,251.902,0.024,40,75,0,0,152,57,153,regular,white
Olenekian,Age,247.2,,251.2,,30,65,0,0,176,81,165,regular,white
Induan,Age,251.2,,251.902,0.024,35,70,0,0,164,70,159,regular,white
Paleozoic,Era,251.902,0.024,541,1,40,10,40,0,153,192,141,regular,black
Permian,Period,251.902,0.024,298.9,0.15,5,75,75,0,240,64,40,regular,black
Lopingian,Epoch,251.902,0.024,259.1,0.5,0,35,30,0,251,167,148,regular,black
Changhsingian,Age,251.902,0.024,254.14,0.07,0,55,50,0,252,192,178,regular,black
Wuchiapingian,Age,254.14,0.07,259.1,0.5,0,30,25,0,252,180,162,regular,black
Guadalupian,Epoch,259.1,0.5,272.95,0.11,0,55,50,0,251,116,92,regular,black
Capitanian,Age,259.1,0.5,265.1,0.4,0,40,35,0,251,154,133,regular,black
Wordian,Age,265.1,0.4,268.8,0.5,0,45,40,0,251,141,118,regular,black
Roardian,Age,268.8,0.5,272.95,0.11,0,50,45,0,251,128,105,regular,black
Cisuralian,Epoch,272.95,0.11,298.9,0.15,5,65,60,0,239,88,69,regular,black
Kungurian,Age,272.95,0.11,283.5,0.6,10,45,40,0,227,135,118,regular,black
Artinskian,Age,283.5,0.6,290.1,0.26,10,50,45,0,227,123,104,regular,black
Sakmarian,Age,290.1,0.26,295,0.18,10,55,50,0,227,111,92,regular,black
Asselian,Age,295,0.18,298.9,0.15,10,60,55,0,227,99,88,regular,black
Carboniferous,Period,298.9,0.15,358.9,0.4,60,15,30,0,103,165,153,regular,white
Pennsylvanian,superepoch,298.9,0.15,323.2,0.4,40,10,20,0,153,194,181,regular,black
Upper,Epoch,298.9,0.15,307,0.1,25,10,20,0,191,208,186,regular,black
Gzhelian,Age,298.9,0.15,303.7,0.1,20,10,15,0,204,212,199,regular,black
