name,type,top,toperr,bot,boterr,C,M,Y,K,R,G,B,fontstyle,fontcolor,col,meanage,fontface,start,end,fontsize,meanwidth,fontangle,fonthjust
Phanerozoic,Eon,0,NA,541,1,40,0,5,0,154,217,221,regular,black,#9AD9DD,270.5,1,0.5,1,14,0.75,90,0.5
Cenozoic,Era,0,NA,66,NA,5,0,90,0,242,249,29,regular,black,#F2F91D,33,1,1,1.5,12,1.25,90,0.5
Quaternary,Period,0,NA,2.58,NA,0,0,50,0,249,249,127,regular,black,#F9F97F,1.29,1,1.5,2,10,1.75,0,0
Holocene,Epoch,0,NA,0.0117,NA,0,5,10,0,254,242,224,regular,black,#FEF2E0,0.00585,1,2,3.5,8,2.75,0,0
,Age,0,NA,0.0117,NA,0,5,5,0,254,242,236,regular,black,#FEF2EC,0.00585,1,3.5,5,8,4.25,0,0
Pleistocene,Epoch,0.0117,NA,2.58,NA,0,5,30,0,255,242,174,regular,black,#FFF2AE,1.2958500000000002,1,2,3.5,8,2.75,0,0
Upper,Age,0.0117,NA,0.126,NA,0,5,15,0,255,242,211,italics,black,#FFF2D3,0.06885,3,3.5,5,8,4.25,0,0
Middle,Age,0.126,NA,0.781,NA,0,5,20,0,255,242,199,italics,black,#FFF2C7,0.4535,3,3.5,5,8,4.25,0,0
Calabrian,Age,0.781,NA,1.8,NA,0,5,25,0,255,242,186,regular,black,#FFF2BA,1.2905000000000002,1,3.5,5,8,4.25,0,0
Gelasian,Age,1.8,NA,2.58,NA,0,5,35,0,255,237,179,regular,black,#FFEDB3,2.19,1,3.5,5,8,4.25,0,0
Neogene,Period,2.58,NA,23.03,NA,0,10,90,0,255,230,25,regular,black,#FFE619,12.805000000000001,1,1.5,2,10,1.75,90,0
Pliocene,Epoch,2.58,NA,5.333,NA,0,0,40,0,255,255,153,regular,black,#FFFF99,3.9565,1,2,3.5,8,2.75,0,0
Piacenzian,Age,2.58,NA,3.6,NA,0,0,25,0,255,255,191,regular,black,#FFFFBF,3.09,1,3.5,5,8,4.25,0,0
Zanclean,Age,3.6,NA,5.333,NA,0,0,30,0,255,255,179,regular,black,#FFFFB3,4.4665,1,3.5,5,8,4.25,0,0
Miocene,Epoch,5.333,NA,23.03,NA,0,0,100,0,255,255,0,regular,black,#FFFF00,14.181500000000002,1,2,3.5,8,2.75,0,0
Messinian,Age,5.333,NA,7.246,NA,0,0,55,0,255,255,115,regular,black,#FFFF73,6.2895,1,3.5,5,8,4.25,0,0
Tortonian,Age,7.246,NA,11.63,NA,0,0,60,0,255,255,102,regular,black,#FFFF66,9.438,1,3.5,5,8,4.25,0,0
Serravallian,Age,11.63,NA,13.82,NA,0,0,65,0,255,255,89,regular,black,#FFFF59,12.725000000000001,1,3.5,5,8,4.25,0,0
Langhian,Age,13.82,NA,15.97,NA,0,0,70,0,255,255,77,regular,black,#FFFF4D,14.895,1,3.5,5,8,4.25,0,0
Burdigalian,Age,15.97,NA,20.44,NA,0,0,75,0,255,255,65,regular,black,#FFFF41,18.205000000000002,1,3.5,5,8,4.25,0,0
Aquitanian,Age,20.44,NA,23.03,NA,0,0,80,0,255,255,51,regular,black,#FFFF33,21.735,1,3.5,5,8,4.25,0,0
Paleogene,Period,23.03,NA,66,NA,0,40,60,0,253,154,82,regular,black,#FD9A52,44.515,1,1.5,2,10,1.75,90,0
Oligocene,Epoch,23.03,NA,33.9,NA,0,25,45,0,253,192,122,regular,black,#FDC07A,28.465,1,2,3.5,8,2.75,0,0
Chattian,Age,23.03,NA,28.1,NA,0,10,30,0,254,230,170,regular,black,#FEE6AA,25.565,1,3.5,5,8,4.25,0,0
Rupelian,Age,28.1,NA,33.9,NA,0,15,35,0,254,217,154,regular,black,#FED99A,31,1,3.5,5,8,4.25,0,0
Eocene,Epoch,33.9,NA,56,NA,0,30,50,0,253,180,108,regular,black,#FDB46C,44.95,1,2,3.5,8,2.75,0,0
Priabonian,Age,33.9,NA,37.8,NA,0,20,30,0,253,205,161,regular,black,#FDCDA1,35.849999999999994,1,3.5,5,8,4.25,0,0
Bartonian,Age,37.8,NA,41.2,NA,0,25,35,0,253,192,145,regular,black,#FDC091,39.5,1,3.5,5,8,4.25,0,0
Lutetian,Age,41.2,NA,47.8,NA,0,30,40,0,252,180,130,regular,black,#FCB482,44.5,1,3.5,5,8,4.25,0,0
Ypresian,Age,47.8,NA,56,NA,0,35,45,0,252,167,115,regular,black,#FCA773,51.9,1,3.5,5,8,4.25,0,0
Paleocene,Epoch,56,NA,66,NA,0,35,55,0,253,167,95,regular,black,#FDA75F,61,1,2,3.5,8,2.75,0,0
Thanetian,Age,56,NA,59.2,NA,0,25,50,0,253,191,111,regular,black,#FDBF6F,57.6,1,3.5,5,8,4.25,0,0
Selandian,Age,59.2,NA,61.6,NA,0,25,55,0,254,191,101,regular,black,#FEBF65,60.400000000000006,1,3.5,5,8,4.25,0,0
Danian,Age,61.6,NA,66,NA,0,30,55,0,253,180,98,regular,black,#FDB462,63.8,1,3.5,5,8,4.25,0,0
Mesozoic,Era,66,NA,252,NA,60,0,10,0,103,197,202,regular,black,#67C5CA,159,1,1,1.5,12,1.25,90,0.5
Cretaceous,Period,66,NA,145,NA,50,0,75,0,127,198,78,regular,black,#7FC64E,105.5,1,1.5,2,10,1.75,90,0
Upper,Epoch,66,NA,100.5,NA,35,0,75,0,166,216,74,regular,black,#A6D84A,83.25,1,2,3.5,8,2.75,0,0
Maastrictian,Age,66,NA,72.1,0.2,10,0,50,0,242,250,140,regular,black,#F2FA8C,69.05,1,3.5,5,8,4.25,0,0
Campanian,Age,72.1,0.2,83.6,0.2,10,0,50,0,230,244,127,regular,black,#E6F47F,77.85,1,3.5,5,8,4.25,0,0
Santonian,Age,83.6,0.2,86.3,0.5,15,0,55,0,217,239,116,regular,black,#D9EF74,84.94999999999999,1,3.5,5,8,4.25,0,0
Coniacian,Age,86.3,0.5,89.8,0.3,20,0,60,0,204,233,104,regular,black,#CCE968,88.05,1,3.5,5,8,4.25,0,0
Turonian,Age,89.8,0.3,93.9,NA,25,0,65,0,191,227,93,regular,black,#BFE35D,91.85,1,3.5,5,8,4.25,0,0
Cenamonian,Age,93.9,NA,100,NA,30,0,70,0,179,222,83,regular,black,#B3DE53,96.95,1,3.5,5,8,4.25,0,0
Albian,Age,100,NA,113,NA,20,0,40,0,204,234,151,regular,black,#CCEA97,106.5,1,3.5,5,8,4.25,0,0
Lower,Epoch,100.5,NA,145,NA,45,0,70,0,140,205,87,regular,black,#8CCD57,122.75,1,2,3.5,8,2.75,0,0
Aptian,Age,113,NA,126,NA,25,0,45,0,191,228,138,regular,black,#BFE48A,119.5,1,3.5,5,8,4.25,0,0
Barremian,Age,126,NA,131,NA,30,0,50,0,179,223,127,regular,black,#B3DF7F,128.5,1,3.5,5,8,4.25,0,0
Hauterivian,Age,131,NA,134,NA,35,0,55,0,166,217,117,regular,black,#A6D975,132.5,1,3.5,5,8,4.25,0,0
Valanginian,Age,134,NA,139,NA,40,0,60,0,153,211,106,regular,black,#99D36A,136.5,1,3.5,5,8,4.25,0,0
Berriasian,Age,139,NA,145,NA,45,0,65,0,140,205,96,regular,black,#8CCD60,142,1,3.5,5,8,4.25,0,0
Jurassic,Period,145,NA,201.3,0.2,80,0,5,0,52,178,201,regular,white,#34B2C9,173.15,1,1.5,2,10,1.75,90,0
Upper,Epoch,145,NA,163.5,1,30,0,0,0,179,227,238,regular,black,#B3E3EE,154.25,1,2,3.5,8,2.75,0,0
Tithonian,Age,145,NA,152.1,0.9,15,0,0,0,217,241,247,regular,black,#D9F1F7,148.55,1,3.5,5,8,4.25,0,0
Kimmeridgian,Age,152.1,0.9,157.3,1,20,0,0,0,204,236,244,regular,black,#CCECF4,154.7,1,3.5,5,8,4.25,0,0
Oxfordian,Age,157.3,1,163.5,1,25,0,0,0,191,231,241,regular,black,#BFE7F1,160.4,1,3.5,5,8,4.25,0,0
Middle,Epoch,163.5,1,174.1,1,50,0,5,0,128,207,216,regular,black,#80CFD8,168.8,1,2,3.5,8,2.75,0,0
Callovian,Age,163.5,1,166.1,1.2,25,0,5,0,191,231,229,regular,black,#BFE7E5,164.8,1,3.5,5,8,4.25,0,0
Bathonian,Age,166.1,1.2,168.3,1.3,30,0,5,0,179,226,227,regular,black,#B3E2E3,167.2,1,3.5,5,8,4.25,0,0
Bajocian,Age,168.3,1.3,170.3,1.4,35,0,5,0,166,221,224,regular,black,#A6DDE0,169.3,1,3.5,5,8,4.25,0,0
Aalenian,Age,170.3,1.4,174.1,1,40,0,5,0,154,217,221,regular,black,#9AD9DD,172.2,1,3.5,5,8,4.25,0,0
Lower,Epoch,174.1,1,201.3,0.2,75,5,0,0,66,174,208,regular,white,#42AED0,187.7,1,2,3.5,8,2.75,0,0
Toarcian,Age,174.1,1,182.7,0.7,40,5,0,0,153,206,227,regular,black,#99CEE3,178.39999999999998,1,3.5,5,8,4.25,0,0
Pliensbachian,Age,182.7,0.7,190.8,1,50,5,0,0,128,197,221,regular,white,#80C5DD,186.75,1,3.5,5,8,4.25,0,0
Sinemurian,Age,190.8,1,199.3,0.3,60,5,0,0,103,188,216,regular,white,#67BCD8,195.05,1,3.5,5,8,4.25,0,0
Hettangian,Age,199.3,0.3,201.3,0.2,70,5,0,0,78,179,211,regular,white,#4EB3D3,200.3,1,3.5,5,8,4.25,0,0
Triassic,Period,201.3,0.2,251.902,0.024,50,80,0,0,129,43,146,regular,white,#812B92,226.601,1,1.5,2,10,1.75,90,0
